File,Class_GT_n,label
o1_gr_can,0,1
o1_gr_e01,1,5
o1_gr_e02,1,5
o1_gr_e03,2,5
o1_gr_e04,2,5
o1_gr_e05,2,5
o1_gr_e06,2,5
o1_gr_e07,3,5
o1_gr_e08,3,1
o1_gr_e09,3,1
o1_gr_e10,1,5
o1_gr_e11,1,5
o1_gr_e12,2,5
o2_gr_can,0,1
o2_gr_e01,5,0
o2_gr_e02,5,0
o2_gr_e03,5,0
o2_gr_e04,4,3
o2_gr_e05,4,3
o2_gr_e06,4,3
o2_gr_e07,4,3
o2_gr_e08,4,3
o2_gr_e09,4,3
o2_gr_e10,4,2
o2_gr_e11,4,2
o2_gr_e12,4,2
o3_gr_can,0,1
o3_gr_e01,4,4
o3_gr_e02,4,4
o3_gr_e03,4,4
o3_gr_e04,5,0
o3_gr_e05,4,4
o3_gr_e06,4,4
o3_gr_e07,5,0
o3_gr_e08,4,4
o3_gr_e09,5,0
o3_gr_e10,4,4
o3_gr_e11,4,4
o3_gr_e12,4,4
o4_gr_can,0,1
o4_gr_e01,1,1
o4_gr_e02,1,1
o4_gr_e03,1,1
o4_gr_e04,3,1
o4_gr_e05,3,1
o4_gr_e06,3,1
o4_gr_e07,1,1
o4_gr_e08,1,1
o4_gr_e09,1,1
o4_gr_e10,2,5
o4_gr_e11,2,5
o4_gr_e12,2,5
o5_gr_can,0,1
o5_gr_e01,4,4
o5_gr_e02,4,4
o5_gr_e03,4,4
o5_gr_e04,4,4
o5_gr_e05,4,4
o5_gr_e06,4,4
o5_gr_e07,3,4
o5_gr_e08,4,4
o5_gr_e09,4,4
o5_gr_e10,4,4
o5_gr_e11,4,4
o5_gr_e12,4,4
